item,label,quantity,category,material,notes,source,cad_names
CNC_BASE_300x320x6,Fondo portante piano alluminio 6 mm,1,custom,aluminium plate,Upper face smooth. Tapped holes shown at nominal major diameter; drawing must specify taps.,,base_aluminium
PRINT_OUTER_SHELL,Scocca superiore rimovibile,1,printed,PA12 proposed,"Non-load-bearing shell; 3 mm walls, captive M3 nuts. Validate printed fit.",,outer_shell
CNC_CELL_FIXED_SPACER,Distanziale fisso cella 25 x30 x6,1,custom,aluminium plate,,,cell_fixed_spacer
CNC_CELL_MOVING_SPACER,Distanziale mobile cella 25 x30 x22,1,custom,aluminium bar,,,cell_moving_spacer
ZEMIC_L6D_C3_30KG_0_4B,Zemic L6D-C3-30kg - involucro meccanico,1,loadcell,aluminium purchased,"Drawing envelope 130x30x22, holes M6 through 106x15. Internal strain geometry omitted. Platform axis acceptance and torque require supplier confirmation.",https://www.zemiceurope.com/media/Documentation/L6D_Datasheet.pdf,load_cell_l6d
CNC_CARRIER_276x196x8,Portapiatto piano alluminio 8 mm,1,custom,aluminium plate,Two M6 countersinks; six tapped M3. No plastic load-bearing ribs.,,plate_carrier_aluminium
PRINT_PAN_280x200x4,Piatto plastico liscio 280 x200 x4,1,printed,PA12 proposed,Supported over almost all its underside by the metal carrier; no food-contact certification.,,plastic_pan
WASHER_M6_ISO7089,Rondella M6 ISO7089,2,fastener,steel 200HV,,,cell_fixed_washer_1; cell_fixed_washer_2
SCREW_M6x25_ISO4762,Vite M6 x 25 testa cilindrica,2,fastener,steel,Simplified thread; nominal shank diameter.,,cell_fixed_screw_1; cell_fixed_screw_2
SCREW_M6x45_DIN7991,Vite svasata M6 x 45,2,fastener,steel,M6 head D12 x 3.3; nominal simplified threads.,,cell_moving_screw_1; cell_moving_screw_2
SCREW_M3x10_DIN7991,Vite svasata M3 x 10,10,fastener,steel,M6 head D12 x 3.3; nominal simplified threads.,,pan_screw_1; pan_screw_2; pan_screw_3; pan_screw_4; pan_screw_5; pan_screw_6; display_bezel_screw_1; display_bezel_screw_2; display_bezel_screw_3; display_bezel_screw_4
SCREW_M3x16_ISO4762,Vite M3 x 16 testa cilindrica,12,fastener,steel,Simplified thread; nominal shank diameter.,,shell_screw_1; shell_screw_2; shell_screw_3; shell_screw_4; shell_screw_5; shell_screw_6; shell_screw_7; shell_screw_8; cable_clamp_screw_1_1; cable_clamp_screw_1_2; cable_clamp_screw_2_1; cable_clamp_screw_2_2
NUT_M3_DIN934,Dado M3,16,fastener,steel,Nominal thread; no helical geometry.,,shell_nut_1; shell_nut_2; shell_nut_3; shell_nut_4; shell_nut_5; shell_nut_6; shell_nut_7; shell_nut_8; display_bar_nut_1_1; display_bar_nut_1_2; display_bar_nut_2_1; display_bar_nut_2_2; display_bezel_nut_1; display_bezel_nut_2; display_bezel_nut_3; display_bezel_nut_4
INCLUDED_FOOT_SBR,Pattino antiscivolo piede Elesa,4,feet,SBR supplied,,,foot_pad_1; foot_pad_2; foot_pad_3; foot_pad_4
ELESA_531051,Piede Elesa LX.30-SW17-AS-M6x22,4,feet,purchased foot simplified,"Envelope D30, overall36 incl SBR. Profile simplified; stud measured nominal23 in EN drawing.",https://www.elesa.com/siteassets/PDF/PDF_EN/LX.pdf,adjustable_foot_1; adjustable_foot_2; adjustable_foot_3; adjustable_foot_4
NUT_M6_DIN934,Dado M6,8,fastener,steel,Nominal thread; no helical geometry.,,foot_locknut_1; foot_locknut_2; foot_locknut_3; foot_locknut_4; overload_locknut_1; overload_locknut_2; overload_locknut_3; overload_locknut_4
