id,quantity,order_quantity,order_unit,description,action,sku,url,notes,cad_parts
CNC_BASE_300x320x6,1,1,pezzo,Fondo portante piano alluminio 6 mm,Lavorare su file,"6061-T6, pezzo a disegno",https://jlccnc.com/,Faccia superiore piana. Fori filettati rappresentati al diametro nominale; usare le specifiche di maschiatura nelle note CNC.,base_aluminium
PRINT_OUTER_SHELL,1,1,pezzo,Scocca superiore rimovibile,Stampare su file,"PA12 MJF/SLS, pezzo a disegno",https://jlc3dp.com/,"Guscio rimovibile, pareti da 3 mm e sedi per dadi M3. Giochi delle sedi da verificare con lo stampatore.",outer_shell
CNC_CELL_FIXED_SPACER,1,1,pezzo,Distanziale fisso cella 25 x30 x6,Lavorare su file,"6061-T6, pezzo a disegno",https://jlccnc.com/,Distanziale fisso da 6 mm; superfici di serraggio piane e sbavate secondo le note CNC.,cell_fixed_spacer
CNC_CELL_MOVING_SPACER,1,1,pezzo,Distanziale mobile cella 25 x30 x22,Lavorare su file,"6061-T6, pezzo a disegno",https://jlccnc.com/,Distanziale mobile da 22 mm; mantiene il portapiatto separato dal guscio.,cell_moving_spacer
ZEMIC_L6D_C3_30KG_0_4B,1,1,pezzo,Zemic L6D-C3-30kg - involucro meccanico,Acquistare,Essmann 11250496,https://www.essmann-shop.com/en/single-point-load-cell-zemic-l6d-c3-30kg-0.4b/11250496,"Cella 30 kg; carico utile di progetto 20 kg, accuratezza 1 g non provata.",load_cell_l6d
CNC_CARRIER_276x196x8,1,1,pezzo,Portapiatto piano alluminio 8 mm,Lavorare su file,"6061-T6, pezzo a disegno",https://jlccnc.com/,Due svasature M6 e sei filetti M3. Sostiene quasi tutta la superficie inferiore del piatto plastico.,plate_carrier_aluminium
PRINT_PAN_280x200x4,1,1,pezzo,Piatto plastico liscio 280 x200 x4,Stampare su file,"PA12 MJF/SLS, pezzo a disegno",https://jlc3dp.com/,"Piatto da stampare, sostenuto dal portapiatto metallico; sei viti M3 svasate.",plastic_pan
WASHER_M6_ISO7089,2,2,pezzi,Rondella M6 ISO7089,Acquistare,ISO7089 M6 200HV,https://www.westfieldfasteners.co.uk/BZP-Washer-M6.html,"6,4 x12 x1,6 mm.",cell_fixed_washer_1; cell_fixed_washer_2
SCREW_M6x25_ISO4762,2,2,pezzi,Vite M6 x 25 testa cilindrica,Acquistare,"Keller 240912625, 8.8",https://www.keller-kalmbach.com/products/fasteners/screws/hexagon-socket-cap-screws/iso-4762--din-912-cap-screw/p/240912625,Lato fisso della cella; rondella ISO7089.,cell_fixed_screw_1; cell_fixed_screw_2
SCREW_M6x45_DIN7991,2,2,pezzi,Vite svasata M6 x 45,Acquistare,Accu SSK-M6-45-10.9-Z,https://www.accu.co.uk/countersunk-socket-head-screws/495060-SSK-M6-45-10-9-Z,"Lato mobile; testa D12, cono90. Coppia e giunto da confermare con Zemic.",cell_moving_screw_1; cell_moving_screw_2
SCREW_M3x10_DIN7991,10,10,pezzi,Vite svasata M3 x 10,Acquistare,Orbital 5500020 A4,https://www.orbitalfasteners.co.uk/products/m3x10-csk-skt-screw-stst-a4-din-7991,Testa D6; svasatura90; lunghezza totale10.,pan_screw_1; pan_screw_2; pan_screw_3; pan_screw_4; pan_screw_5; pan_screw_6; display_bezel_screw_1; display_bezel_screw_2; display_bezel_screw_3; display_bezel_screw_4
SCREW_M3x16_ISO4762,12,12,pezzi,Vite M3 x 16 testa cilindrica,Acquistare,Westfield WF14263 A4,https://www.westfieldfasteners.co.uk/Bolts-Screws-Metric/A4-Socket-Head-Cap-Screw-M3x16mm.html,"Testa D5,5 x3.",shell_screw_1; shell_screw_2; shell_screw_3; shell_screw_4; shell_screw_5; shell_screw_6; shell_screw_7; shell_screw_8; cable_clamp_screw_1_1; cable_clamp_screw_1_2; cable_clamp_screw_2_1; cable_clamp_screw_2_2
NUT_M3_DIN934,16,16,pezzi,Dado M3,Acquistare,Westfield WF15111,https://www.westfieldfasteners.co.uk/Metric-Nuts/Hex-Nut-M3-Bright-Zinc-Plate-Class-8.html,"Chiave5,5, altezza2,4; sedi captive stampate.",shell_nut_1; shell_nut_2; shell_nut_3; shell_nut_4; shell_nut_5; shell_nut_6; shell_nut_7; shell_nut_8; display_bar_nut_1_1; display_bar_nut_1_2; display_bar_nut_2_1; display_bar_nut_2_2; display_bezel_nut_1; display_bezel_nut_2; display_bezel_nut_3; display_bezel_nut_4
INCLUDED_FOOT_SBR,4,0,pezzi,Pattino antiscivolo piede Elesa,Incluso nel componente,INCLUDED_FOOT_SBR,,Non acquistare separatamente. ,foot_pad_1; foot_pad_2; foot_pad_3; foot_pad_4
ELESA_531051,4,4,pezzi,Piede Elesa LX.30-SW17-AS-M6x22,Acquistare,Elesa 531051,https://www.elesa-ganter.nl/p/lx-30-sw17-as-m6x22/127394/,4 piedi completi di pattino; filetto M6 nel basamento.,adjustable_foot_1; adjustable_foot_2; adjustable_foot_3; adjustable_foot_4
NUT_M6_DIN934,8,8,pezzi,Dado M6,Acquistare,M6 DIN934 zincato,https://www.essentracomponents.com/en-gb/p/standard-hex-nuts-metal/051060040952,"Chiave10, altezza5. Acquistabile a standard anche in ferramenta.",foot_locknut_1; foot_locknut_2; foot_locknut_3; foot_locknut_4; overload_locknut_1; overload_locknut_2; overload_locknut_3; overload_locknut_4
SETSCREW_M6x60_DIN913_FLAT_END,4,4,pezzi,Grano M6 x60 arresto regolabile,Acquistare,"RW D913V060060, DIN913 45H",https://www.rwproducts.nl/din-913-stelschroef-binnenzeskant-met-afschuining-elvz-m6x60,4 fermi regolabili; gioco di progetto da tarare sul prototipo.,overload_stop_1; overload_stop_2; overload_stop_3; overload_stop_4
